product_id,brand_name,product_title,price,avg_product_rating,product_tags,product_url
4970783,Kay Beauty,Kay Beauty Lip & Cheek Combo,1358,4.8,,https://www.nykaa.com/kay-beauty-kay-beauty-lip-cheek-combo/p/4970783
4996626,Nykaa Cosmetics,Nykaa All Day Matte Long Wear Foundation + Compact - Ivory,742,3.2,,https://www.nykaa.com/nykaa-cosmetics-all-day-matte-long-lasting-foundation-compact-ivory/p/4996626
4996628,Nykaa Cosmetics,Nykaa Cosmetics All Day Matte Long Wear Foundation + Compact - Beige,742,3.7,,https://www.nykaa.com/nykaa-cosmetics-all-day-matte-long-lasting-foundation-compact-beige/p/4996628
4996634,Nykaa Cosmetics,Nykaa Prep Me Up Primer + All Day Matte Foundation Perfect Your Base Combo,1078,3.7,,https://www.nykaa.com/nykaa-cosmetics-prep-me-up-primer-all-day-matte-foundation-perfect-your-base-combo/p/4996634
5093150,Kay Beauty,Kay Beauty Creme Blush,799,4.5,"FEATURED, BESTSELLER",https://www.nykaa.com/kay-beauty-creme-blush-sweetheart-pink/p/5093150
5177218,Nykaa Cosmetics,Nykaa Cosmetics Blendpro Powder Brushes Combo,909,4.1,,https://www.nykaa.com/nykaa-cosmetics-blendpro-powder-brushes-combo/p/5177218
5202105,Nykaa Naturals,Nykaa Naturals Apple Cider Vinegar & Ginger Anti-dandruff Hair Oil + Shampoo + Massager Combo,1048,4.0,,https://www.nykaa.com/nykaa-naturals-apple-cider-vinegar-ginger-anti-dandruff-hair-oil-shampoo-massager-combo/p/5202105
5360837,Herbal Essences,Herbal Essences Argan Oil Of Morocco Shampoo - For Frizz Free Hair - Paraben Free,390,4.3,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-of-morocco-shampoo-for-frizz-free-hair-paraben-free/p/5360837
5360838,Herbal Essences,Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free,390,4.1,BESTSELLER,https://www.nykaa.com/herbal-essences-strawberry-mint-shampoo-for-cleansing-volume-paraben-free/p/5360838
5360839,Herbal Essences,Herbal Essences Argan Oil Of Morocco Conditioner - For Frizz Free Hair - Paraben Free,390,4.4,"FEATURED, BESTSELLER",https://www.nykaa.com/herbal-essences-argan-oil-of-morocco-conditioner-for-frizz-free-hair-paraben-free/p/5360839
5360840,Herbal Essences,Herbal Essences Strawberry & Mint Conditioner - For Cleansing & Volume - Paraben Free,277,4.3,,https://www.nykaa.com/herbal-essences-strawberry-mint-conditioner-for-cleansing-volume-paraben-free/p/5360840
5525816,NYX Professional Makeup,NYX Professional Makeup Must Haves - Tinted Brow Mascara Espresso & Soft Matte Lip Cream Copenhagen,699,3.7,,https://www.nykaa.com/nyx-professional-makeup-must-haves-tinted-brow-mascara-espresso-soft-matte-lip-cream-copenhagen/p/5525816
5694317,Nykaa Cosmetics,Nykaa Cosmetics Eyes On Me ! 4 In 1 Quad Eyeshadow Palette Desk To Date + Night Out,558,4.0,,https://www.nykaa.com/nykaa-cosmetics-eyes-on-me-4-in-1-quad-eyeshadow-palette-desk-to-date-night-out/p/5694317
5722072,Kay Beauty,Kay Beauty HD Liquid Colour Corrector,679,4.4,,https://www.nykaa.com/kay-beauty-hd-liquid-colour-corrector/p/5722072
5880612,Nykaa Cosmetics,Nykaa Glamoreyes Coloured Liquid Eyeliner & Pencil Duo - Chaotic Calypso + Jade Jinx,637,3.9,,https://www.nykaa.com/nykaa-cosmetics-glamoreyes-coloured-liquid-eyeliner-pencil-duo-chaotic-calypso-jade-jinx/p/5880612
5880614,Nykaa Cosmetics,Nykaa Bestsellers - So Creme Lipstick - Wakeup Makeup + All Day Matte Liquid Lipstick - Soul Sister,551,3.8,,https://www.nykaa.com/nykaa-cosmetics-bestseller-so-creme-lipstick-wakeup-makeup-all-day-matte-liquid-lipstick-soul-sister/p/5880614
6028352,Lakme,Lakme 9to5 Primer + Matte Liquid Lip Color,499,4.0,,https://www.nykaa.com/lakme-9to5-primer-matte-liquid-lip-color/p/6028352
6057747,Maybelline New York,Maybelline New York Colossal Mascara With 2 Free Sensational Liquid Matte Mini - Best Babe,399,4.1,,https://www.nykaa.com/maybelline-new-york-colossal-mascara-with-2-free-sensational-liquid-matte-mini-best-babe/p/6057747
6565374,Lakme,Lakme Matte Ultimate Festive Lips Combo,1650,4.1,,https://www.nykaa.com/lakme-matte-ultimate-festive-lips-combo/p/6565374
6583638,Kay Beauty,Kay Beauty Gel Eye Pencil,599,4.4,,https://www.nykaa.com/kay-beauty-gel-eye-pencil/p/6583638
6599370,Kay Beauty,Kay Beauty Island Vibes Combo - Gel Eye Pencils In Blue & Green,1018,4.0,,https://www.nykaa.com/kay-beauty-island-vibes-combo-gel-eye-pencils-in-blue-green/p/6599370
6599374,Kay Beauty,Kay Beauty Cocktail Hour Combo - Gel Eye Pencils In Gold & Olive,1018,3.0,,https://www.nykaa.com/kay-beauty-cocktail-hour-combo-gel-eye-pencils-in-gold-olive/p/6599374
6599375,Kay Beauty,Kay Beauty Shine On Combo - Gel Eye Pencils In Bronze & Green,1018,4.0,,https://www.nykaa.com/kay-beauty-shine-on-combo-gel-eye-pencils-in-bronze-gold/p/6599375
6604346,Herbal Essences,Herbal Essences Argan Shampoo + Argan Conditioner,667,4.2,,https://www.nykaa.com/herbal-essences-argan-shampoo-argan-conditioner/p/6604346
6604347,Herbal Essences,Herbal Essences Strawberry Shampoo + Strawberry Conditioner,667,4.1,,https://www.nykaa.com/herbal-essences-strawberry-shampoo-strawberry-conditioner/p/6604347
6836720,Olay,"Olay Aha & Niacinamide Super Cream , Acne Mark & Spot Removal Cream - For All Skin Types",1399,3.8,FEATURED,https://www.nykaa.com/olay-aha-niacinamide-super-cream/p/6836720
7066986,Maybelline New York,Maybelline New York Sensational Liquid Matte Minis Pack Of 3,285,3.8,,https://www.nykaa.com/maybelline-new-york-sensational-liquid-matte-minis-pack-of-3-na/p/7066986
7308001,L'Oreal Paris,L'Oreal Paris Glycolic Bright Day Regime,1102,4.0,"FEATURED, NEW",https://www.nykaa.com/l-oreal-paris-glycolic-bright-day-regime/p/7308001
7749427,Maybelline New York,Maybelline New York Super Stay Matte Ink Liquid Lipstick Birthday Collection,559,4.1,NEW,https://www.nykaa.com/maybelline-new-york-super-stay-matte-ink-liquid-lipstick-390-life-of-the-party/p/7749427
